txn Hash,Method,Block,Age,Sender,Receiver,Value,Txn Fee
0xb9e97015ef2c00f71cc7e7f359e0653b6aedc22fb272a94b6739b6a9c80af6fe,Burn,19398347,14 secs ago,Circle,Circle: USDC Token,0.0,0.00344859
0xe458e589f2e6187c76b14a194c5f28f7ecdbfcd02815d861a466a957205fbc15,Transfer,19398347,14 secs ago,Cryptomus: Hot Wallet,Tether: USDT Stablecoin,0.0,0.00336078
0x1d9f405854a0b6684aba14b9c1ace0ccfd42bcf95705183a5e75b2117bf72e75,Transfer,19398347,14 secs ago,0xC68f8eD5...52F449F30,0x670aa864...14aEF9a73,1.5,0.00153207
0xc3630235b4d976d617b1b246de9173b956dd526755aff2b7079c24a1197c367e,Transfer,19398347,14 secs ago,0x4e59E476...7Ac54a82E,0x386A647b...c27A1cD6A,0.4,0.00153207
0x8c0d3eb0e94754e22c4b717174ebdb056cc2553c617840e1a9961d58df3fdbdb,Execute,19398347,14 secs ago,0x090F7C27...3412dA67F,Uniswap: Universal Router,0.27,0.01295449
0xa2f2b7d1503823370134308c96ecf246a2b219f4725a65b64c66ae7546b3d4b8,Transfer,19398347,14 secs ago,0x67Bd29eB...7969f81F5,0x46bdD7c6...760136F5d,0.01608752,0.00153207
0x1b3670abcf7b270244123116aafdb8e53e3afae3c25a30e62b3df0527e960b3a,Approve,19398347,14 secs ago,0x67C3968A...0485bC6Bb,Tether: USDT Stablecoin,0.0,0.00193063
0xcb6b5dab8dc0dd50bd99eba1581fc3ce37022dcc3e5788e03a4f4e3061fa724f,Execute,19398347,14 secs ago,0x55C7Df42...1FB1f3F43,Uniswap: Universal Router,0.0,0.01866446
0xfc839cda622ddcd0ff42aab0c40d99447334ff08ae51f7e6d248b40221c26f56,Withdraw,19398347,14 secs ago,0x847E61Db...5Ba59F33c,Wrapped Ether,0.0,0.00227476
0xbdccfe15f92062619488a1c6285a0fb95958f40e934736c5f3bbcf38fc0f12e4,Approve,19398347,14 secs ago,0xC82BF52c...5aF8D74aB,0x1258D60B...FCFb7e870,0.0,0.00342229
0x380a5cffb76b5db6ac15640ba38dd1040c4c48632ed63e4c89d8cb0345fae726,Execute,19398347,14 secs ago,0x28a40aa6...C84A43b08,Uniswap: Universal Router,0.0,0.01517534
0xc1e31a0bda9ad9385ea502f5d1c8fb349acbfbd6f908a0776f84d269f81fd027,Transfer,19398347,14 secs ago,0x5561B9FA...dcE169766,0x3b876696...8eEEC431C,0.063527342,0.00153207
